ID,IP Address,Timestamp,Log Entry
1,28.89.235.166,01/Aug/2024:07:04:45 ,"GET http://www.example.com/ HTTP/1.1"" 200 140321 ""http://www.example.com/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
2,166.51.98.20,01/Aug/2024:18:35:27 ,"GET http://update.software.com/check HTTP/1.1"" 200 943292 ""http://update.software.com/check"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
3,173.83.245.41,01/Aug/2024:15:18:50 ,"GET http://www.example.com/ HTTP/1.1"" 200 813021 ""http://www.example.com/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
4,51.228.151.127,01/Aug/2024:00:08:39 ,"GET http://update.software.com/check HTTP/1.1"" 200 709092 ""http://update.software.com/check"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
5,10.150.104.208,01/Aug/2024:00:04:54 ,"GET http://intranet.company.com/docs/document.pdf HTTP/1.1"" 200 614158 ""http://intranet.company.com/docs/document.pdf"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
6,191.111.201.211,01/Aug/2024:21:47:41 ,"GET http://update.software.com/version.xml HTTP/1.1"" 200 53942 ""http://update.software.com/version.xml"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
7,240.42.223.81,01/Aug/2024:23:07:56 ,"GET http://intranet.company.com/docs/document.pdf HTTP/1.1"" 200 240671 ""http://intranet.company.com/docs/document.pdf"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
8,202.58.251.44,01/Aug/2024:04:42:50 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 35718 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
9,75.229.170.244,01/Aug/2024:04:40:08 ,"GET http://intranet.company.com/docs/document.pdf HTTP/1.1"" 200 450422 ""http://intranet.company.com/docs/document.pdf"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
10,100.80.85.48,01/Aug/2024:11:05:46 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 863350 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
11,172.9.161.199,01/Aug/2024:14:13:12 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 1012628 ""http://www.example.com/script.js"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
12,196.24.209.217,01/Aug/2024:07:50:04 ,"GET http://intranet.company.com/docs/document.pdf HTTP/1.1"" 200 809722 ""http://intranet.company.com/docs/document.pdf"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
13,129.108.186.201,01/Aug/2024:08:57:58 ,"GET http://cloudstorage.com/login HTTP/1.1"" 200 803653 ""http://cloudstorage.com/login"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
14,202.233.229.212,01/Aug/2024:03:22:46 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 136796 ""http://www.example.com/script.js"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
15,173.11.206.124,01/Aug/2024:00:05:26 ,"GET http://cloudstorage.com/login HTTP/1.1"" 200 1006746 ""http://cloudstorage.com/login"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
16,171.47.24.9,01/Aug/2024:10:29:20 ,"GET http://update.software.com/check HTTP/1.1"" 200 815176 ""http://update.software.com/check"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
17,121.189.239.65,01/Aug/2024:18:27:19 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 416511 ""http://www.example.com/script.js"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
18,116.41.238.253,01/Aug/2024:03:15:20 ,"GET http://www.example.com/ HTTP/1.1"" 200 207262 ""http://www.example.com/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
19,57.207.115.224,01/Aug/2024:20:52:52 ,"GET http://intranet.company.com/docs/document.pdf HTTP/1.1"" 200 961142 ""http://intranet.company.com/docs/document.pdf"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
