ID,IP Address,Timestamp,Log Entry
1,15.126.218.127,01/Aug/2024:16:32:15 ,"GET http://www.example.com/search?q=<script>alert('xss')</script> HTTP/1.1"" 403 1035845 ""http://www.example.com/search?q=<script>alert('xss')</script>"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
2,152.172.91.107,01/Aug/2024:10:08:23 ,"GET http://www.example.com/login.php?user=admin'-- HTTP/1.1"" 403 616857 ""http://www.example.com/login.php?user=admin'--"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
3,216.200.194.116,01/Aug/2024:02:00:20 ,"GET http://www.example.com/search?q=<script>alert('xss')</script> HTTP/1.1"" 400 246417 ""http://www.example.com/search?q=<script>alert('xss')</script>"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
4,92.125.141.222,01/Aug/2024:02:07:40 ,"GET http://www.example.com/index.php?page=../../../../../../etc/passwd HTTP/1.1"" 400 491228 ""http://www.example.com/index.php?page=../../../../../../etc/passwd"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
5,247.112.50.243,01/Aug/2024:18:30:31 ,"GET http://www.example.com/login.php?user=admin'-- HTTP/1.1"" 400 558945 ""http://www.example.com/login.php?user=admin'--"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
6,230.137.30.215,01/Aug/2024:23:15:32 ,"GET http://www.example.com/admin HTTP/1.1"" 400 1000800 ""http://www.example.com/admin"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
7,56.153.130.100,01/Aug/2024:03:05:45 ,"GET http://www.example.com/search?q=<script>alert('xss')</script> HTTP/1.1"" 403 559203 ""http://www.example.com/search?q=<script>alert('xss')</script>"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
8,241.162.201.78,01/Aug/2024:02:39:16 ,"GET http://www.example.com/search?q=<script>alert('xss')</script> HTTP/1.1"" 403 487742 ""http://www.example.com/search?q=<script>alert('xss')</script>"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
9,165.187.192.7,01/Aug/2024:17:27:03 ,"GET http://www.example.com/../../etc/passwd HTTP/1.1"" 400 79243 ""http://www.example.com/../../etc/passwd"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
10,154.156.21.78,01/Aug/2024:04:41:58 ,"GET http://www.example.com/index.php?page=../../../../../../etc/passwd HTTP/1.1"" 400 318938 ""http://www.example.com/index.php?page=../../../../../../etc/passwd"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
