ID,IP Address,Timestamp,Log Entry
1,207.196.162.6,01/Aug/2024:03:08:58 ,"GET http://www.example.com/ HTTP/1.1"" 200 778922 ""http://www.example.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
2,144.113.39.21,01/Aug/2024:16:05:50 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 26422 ""http://www.example.com/script.js"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
3,74.237.173.104,01/Aug/2024:19:00:42 ,"GET http://intranet.company.com/home HTTP/1.1"" 200 804021 ""http://intranet.company.com/home"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
4,138.3.45.146,01/Aug/2024:11:58:23 ,"GET http://www.example.com/ HTTP/1.1"" 200 91209 ""http://www.example.com/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
5,165.224.143.35,01/Aug/2024:18:43:52 ,"GET http://intranet.company.com/home HTTP/1.1"" 200 372696 ""http://intranet.company.com/home"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
6,195.13.210.103,01/Aug/2024:00:23:50 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 370116 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
7,207.125.136.112,01/Aug/2024:00:37:10 ,"GET http://www.example.com/style.css HTTP/1.1"" 200 46142 ""http://www.example.com/style.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
8,236.128.103.100,01/Aug/2024:13:59:03 ,"GET http://cloudstorage.com/files HTTP/1.1"" 200 262469 ""http://cloudstorage.com/files"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
9,12.59.169.210,01/Aug/2024:19:03:04 ,"GET http://intranet.company.com/docs/document.pdf HTTP/1.1"" 200 877829 ""http://intranet.company.com/docs/document.pdf"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
10,216.197.58.56,01/Aug/2024:01:51:55 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 241439 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
11,200.68.78.228,01/Aug/2024:06:26:06 ,"GET http://intranet.company.com/home HTTP/1.1"" 200 557598 ""http://intranet.company.com/home"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
12,136.20.193.209,01/Aug/2024:15:26:52 ,"GET http://www.example.com/style.css HTTP/1.1"" 200 1002043 ""http://www.example.com/style.css"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
13,144.63.214.117,01/Aug/2024:22:36:30 ,"GET http://update.software.com/version.xml HTTP/1.1"" 200 267846 ""http://update.software.com/version.xml"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
14,146.227.61.188,01/Aug/2024:04:23:24 ,"GET http://intranet.company.com/home HTTP/1.1"" 200 142716 ""http://intranet.company.com/home"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
15,126.29.216.114,01/Aug/2024:05:09:41 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 979804 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
16,94.104.14.66,01/Aug/2024:07:17:36 ,"GET http://update.software.com/check HTTP/1.1"" 200 56004 ""http://update.software.com/check"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
17,39.42.234.62,01/Aug/2024:17:47:56 ,"GET http://intranet.company.com/docs/document.pdf HTTP/1.1"" 200 696530 ""http://intranet.company.com/docs/document.pdf"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
18,48.240.26.135,01/Aug/2024:01:57:49 ,"GET http://intranet.company.com/docs/document.pdf HTTP/1.1"" 200 398971 ""http://intranet.company.com/docs/document.pdf"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
19,230.190.203.190,01/Aug/2024:20:05:56 ,"GET http://update.software.com/version.xml HTTP/1.1"" 200 550202 ""http://update.software.com/version.xml"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
20,227.127.131.239,01/Aug/2024:06:55:01 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 396782 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
21,213.215.166.60,01/Aug/2024:12:41:23 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 764546 ""http://www.example.com/script.js"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
22,184.131.48.30,01/Aug/2024:02:07:36 ,"GET http://intranet.company.com/home HTTP/1.1"" 200 737895 ""http://intranet.company.com/home"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
23,119.95.72.199,01/Aug/2024:19:17:40 ,"GET http://cloudstorage.com/login HTTP/1.1"" 200 884016 ""http://cloudstorage.com/login"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
24,177.22.252.50,01/Aug/2024:14:20:38 ,"GET http://cloudstorage.com/files HTTP/1.1"" 200 582707 ""http://cloudstorage.com/files"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
25,12.234.208.83,01/Aug/2024:10:37:58 ,"GET http://www.example.com/ HTTP/1.1"" 200 156178 ""http://www.example.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
26,79.235.15.158,01/Aug/2024:05:21:00 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 738388 ""http://www.example.com/script.js"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
27,80.84.67.222,01/Aug/2024:20:10:05 ,"GET http://intranet.company.com/home HTTP/1.1"" 200 1041650 ""http://intranet.company.com/home"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
28,99.88.111.234,01/Aug/2024:22:02:04 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 272184 ""http://www.example.com/script.js"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
29,249.1.22.8,01/Aug/2024:11:47:20 ,"GET http://cloudstorage.com/login HTTP/1.1"" 200 499903 ""http://cloudstorage.com/login"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
30,74.42.197.232,01/Aug/2024:01:14:35 ,"GET http://www.example.com/ HTTP/1.1"" 200 265649 ""http://www.example.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
31,49.36.111.37,01/Aug/2024:02:56:09 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 316975 ""http://www.example.com/script.js"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
32,21.150.169.38,01/Aug/2024:03:57:54 ,"GET http://intranet.company.com/home HTTP/1.1"" 200 522501 ""http://intranet.company.com/home"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
