ID,IP Address,Timestamp,Log Entry
1,9.48.1.105,01/Aug/2024:00:56:58 ,"GET http://www.example.com/ HTTP/1.1"" 200 451602 ""http://www.example.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
2,234.59.41.153,01/Aug/2024:10:57:45 ,"GET http://intranet.company.com/home HTTP/1.1"" 200 997681 ""http://intranet.company.com/home"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
3,111.81.251.75,01/Aug/2024:08:46:44 ,"GET http://update.software.com/check HTTP/1.1"" 200 772803 ""http://update.software.com/check"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
4,39.219.144.201,01/Aug/2024:17:51:38 ,"GET http://update.software.com/version.xml HTTP/1.1"" 200 837119 ""http://update.software.com/version.xml"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
5,51.163.69.211,01/Aug/2024:08:14:40 ,"GET http://www.example.com/ HTTP/1.1"" 200 633946 ""http://www.example.com/"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
6,22.111.117.34,01/Aug/2024:18:29:36 ,"GET http://www.example.com/script.js HTTP/1.1"" 200 709792 ""http://www.example.com/script.js"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
7,254.148.155.123,01/Aug/2024:21:16:22 ,"GET http://www.example.com/style.css HTTP/1.1"" 200 424703 ""http://www.example.com/style.css"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0"
8,253.10.49.172,01/Aug/2024:08:04:57 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 101324 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
9,31.215.38.97,01/Aug/2024:11:07:19 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 289577 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
10,163.146.241.157,01/Aug/2024:00:40:52 ,"GET http://cloudstorage.com/authenticate HTTP/1.1"" 200 992808 ""http://cloudstorage.com/authenticate"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
